Customer,Date,Product weight,Product price,Gender,Branch/Locker,Location,InvoiceId
RXZ350571,2022-09-01,4.4,24200.000000000004,M,G-Location 1,Yerevan,INV-1
ZFZ316415,2022-09-01,5.86,35160.0,M,G-Location 2,Yerevan,INV-2
KPR936365,2022-09-01,3.76,30080.0,M,G-Location 2,Yerevan,INV-3
PBI351070,2022-09-01,2.74,21920.0,F,G-Location 3,Yerevan,INV-4
RFI100548,2022-09-01,5.99,35940.0,M,G-Location 2,Yerevan,INV-5
MHJ854461,2022-09-01,1.73,4325.0,M,G-Location 3,Yerevan,INV-6
VLP635285,2022-09-01,5.4,10800.0,F,G-Location 2,Yerevan,INV-7
NUZ596095,2022-09-01,7.28,36400.0,F,G-Location 2,Yerevan,INV-8
OCA922132,2022-09-01,7.71,61680.0,F,G-Location 5,Yerevan,INV-9
AYD440566,2022-09-01,7.76,15520.0,M,G-Location 3,Yerevan,INV-10
VDY688455,2022-09-01,1.58,8690.0,F,G-Location 5,Yerevan,INV-11
QTG656269,2022-09-01,3.38,8450.0,M,G-Location 4,Yerevan,INV-12
ZAB368134,2022-09-01,5.86,46880.0,F,G-Location 1,Yerevan,INV-13
RHV777431,2022-09-01,2.02,16160.0,M,G-Location 1,Yerevan,INV-14
PZE355855,2022-09-01,5.56,11120.0,M,G-Location 2,Yerevan,INV-15
JNC848855,2022-09-01,5.38,13450.0,M,G-Location 3,Yerevan,INV-16
GZR758077,2022-09-01,7.82,50830.0,M,G-Location 2,Yerevan,INV-17
TJX587527,2022-09-01,1.37,6850.000000000001,M,G-Location 1,Yerevan,INV-18
OUI196473,2022-09-01,4.29,27885.0,M,G-Location 1,Yerevan,INV-19
XDK579789,2022-09-01,6.06,30299.999999999996,F,G-Location 2,Yerevan,INV-20
PKF240886,2022-09-01,3.32,18260.0,F,G-Location 4,Yerevan,INV-21
NRE560548,2022-09-01,3.42,22230.0,F,G-Location 3,Yerevan,INV-22
RAF508711,2022-09-01,1.96,3920.0,M,G-Location 3,Yerevan,INV-23
WAF162416,2022-09-01,1.81,4525.0,F,G-Location 5,Yerevan,INV-24
VBA611599,2022-09-01,6.51,16275.0,F,G-Location 5,Yerevan,INV-25
YDP844301,2022-09-01,1.05,6825.0,M,G-Location 1,Yerevan,INV-26
HTL643498,2022-09-01,2.12,5300.0,F,G-Location 3,Yerevan,INV-27
QHY996856,2022-09-01,2.82,7050.0,M,G-Location 1,Yerevan,INV-28
CAB511833,2022-09-01,1.55,10075.0,M,G-Location 3,Yerevan,INV-29
DUT720889,2022-09-01,7.92,51480.0,M,G-Location 2,Yerevan,INV-30
GLB429129,2022-09-01,0.72,1440.0,F,G-Location 3,Yerevan,INV-31
JWQ865011,2022-09-01,2.67,5340.0,F,G-Location 5,Yerevan,INV-32
TFS265734,2022-09-01,6.02,30099.999999999996,F,G-Location 1,Yerevan,INV-33
SHR840225,2022-09-01,2.38,19040.0,M,G-Location 4,Yerevan,INV-34
EWY776547,2022-09-01,0.79,6320.0,F,G-Location 4,Yerevan,INV-35
QUG120466,2022-09-01,2.35,4700.0,F,G-Location 3,Yerevan,INV-36
NZN465129,2022-09-01,2.63,5260.0,F,G-Location 3,Yerevan,INV-37
GUS776209,2022-09-01,2.22,4440.0,M,G-Location 2,Yerevan,INV-38
PBS884989,2022-09-01,1.71,11115.0,M,G-Location 2,Yerevan,INV-39
ECZ911304,2022-09-01,3.95,23700.0,M,G-Location 1,Yerevan,INV-40
NNA291882,2022-09-01,2.22,4440.0,F,G-Location 1,Yerevan,INV-41
DVY243173,2022-09-01,1.31,3275.0,F,G-Location 1,Yerevan,INV-42
AQJ912238,2022-09-01,3.3,16500.0,F,G-Location 2,Yerevan,INV-43
CVG737617,2022-09-01,2.34,11700.0,M,G-Location 3,Yerevan,INV-44
QCL821581,2022-09-01,7.33,18325.0,M,G-Location 3,Yerevan,INV-45
JBF765011,2022-09-01,5.79,11580.0,M,G-Location 5,Yerevan,INV-46
SND960320,2022-09-01,4.24,10600.0,M,G-Location 5,Yerevan,INV-47
OMY701108,2022-09-01,6.97,55760.0,F,G-Location 4,Yerevan,INV-48
LHJ272066,2022-09-01,7.99,15980.0,F,G-Location 2,Yerevan,INV-49
BWL490393,2022-09-01,1.47,2940.0,F,G-Location 5,Yerevan,INV-50
NXV934669,2022-09-01,6.28,37680.0,M,G-Location 3,Yerevan,INV-51
UMF658350,2022-09-01,3.56,21360.0,M,G-Location 5,Yerevan,INV-52
SJZ770260,2022-09-01,5.62,44960.0,F,G-Location 2,Yerevan,INV-53
GRU684420,2022-09-01,6.82,13640.0,F,G-Location 3,Yerevan,INV-54
FEP452860,2022-09-01,3.25,21125.0,M,G-Location 4,Yerevan,INV-55
DSC601048,2022-09-01,2.87,17220.0,F,G-Location 2,Yerevan,INV-56
EDW126132,2022-09-01,5.37,13425.0,M,G-Location 3,Yerevan,INV-57
WYQ381586,2022-09-01,5.71,45680.0,M,G-Location 5,Yerevan,INV-58
SND960320,2022-09-01,7.54,49010.0,M,G-Location 1,Yerevan,INV-59
WBP761775,2022-09-01,1.36,3400.0000000000005,F,G-Location 5,Yerevan,INV-60
MVE929157,2022-09-01,2.29,5725.0,M,G-Location 5,Yerevan,INV-61
BEN757039,2022-09-01,2.59,14245.0,F,G-Location 3,Yerevan,INV-62
UEN796425,2022-09-01,4.81,12024.999999999998,F,G-Location 1,Yerevan,INV-63
SXD157361,2022-09-01,6.32,34760.0,F,G-Location 1,Yerevan,INV-64
PSR310193,2022-09-01,4.84,38720.0,F,G-Location 5,Yerevan,INV-65
CJS192563,2022-09-01,7.32,47580.0,F,G-Location 4,Yerevan,INV-66
DUT720889,2022-09-01,6.2,12400.0,F,G-Location 3,Yerevan,INV-67
WCA420364,2022-09-01,3.8,22800.0,M,G-Location 1,Yerevan,INV-68
ART275171,2022-09-01,7.26,43560.0,M,G-Location 4,Yerevan,INV-69
HAB911842,2022-09-01,2.56,15360.0,F,G-Location 1,Yerevan,INV-70
GPZ210346,2022-09-01,6.05,33275.0,M,G-Location 3,Yerevan,INV-71
VOK538308,2022-09-01,5.67,36855.0,F,G-Location 5,Yerevan,INV-72
YDG390661,2022-09-01,1.92,15360.0,F,G-Location 1,Yerevan,INV-73
SND960320,2022-09-01,2.3,13799.999999999998,M,G-Location 2,Yerevan,INV-74
BKB395414,2022-09-01,5.16,33540.0,M,G-Location 5,Yerevan,INV-75
NUP647263,2022-09-01,3.18,25440.0,F,G-Location 4,Yerevan,INV-76
LLL116049,2022-09-01,1.17,6435.0,M,G-Location 3,Yerevan,INV-77
RJJ383602,2022-09-01,1.28,3200.0,F,G-Location 3,Yerevan,INV-78
KNB410468,2022-09-01,2.58,12900.0,F,G-Location 2,Yerevan,INV-79
TPD228616,2022-09-01,7.25,58000.0,M,G-Location 4,Yerevan,INV-80
FAH624635,2022-09-01,6.12,48960.0,M,G-Location 5,Yerevan,INV-81
FKJ554720,2022-09-01,6.1,48800.0,F,G-Location 4,Yerevan,INV-82
WNI722942,2022-09-01,0.87,5220.0,M,G-Location 2,Yerevan,INV-83
YXS700863,2022-09-01,0.68,3740.0000000000005,M,G-Location 5,Yerevan,INV-84
VDY688455,2022-09-01,2.26,5649.999999999999,F,G-Location 4,Yerevan,INV-85
ROR971417,2022-09-01,5.22,31320.0,M,G-Location 1,Yerevan,INV-86
MZT613863,2022-09-01,1.74,9570.0,F,G-Location 5,Yerevan,INV-87
TXB373754,2022-09-01,1.82,9100.0,F,G-Location 2,Yerevan,INV-88
XIO436440,2022-09-01,6.43,38580.0,M,G-Location 2,Yerevan,INV-89
RRL899652,2022-09-01,4.37,34960.0,F,G-Location 5,Yerevan,INV-90
PSX374322,2022-09-01,3.81,22860.0,F,G-Location 3,Yerevan,INV-91
MYW518465,2022-09-01,6.64,33200.0,M,G-Location 2,Yerevan,INV-92
